Encoding	2	1
Type	MD	MD
4-0-1	Fish Out of Water :: 151 :: 	http://www.allmovie.com/explore/theme/fish-out-of-water-1422 :: 152 :: 
4-0-2	Nothing Goes Right :: 153 :: 	http://www.allmovie.com/explore/theme/nothing-goes-right-1410 :: 154 :: 
4-0-3	Eccentric Families :: 155 :: 	http://www.allmovie.com/explore/theme/eccentric-families-1418 :: 156 :: 
4-1-1	Trading Bodies :: 154 :: 	http://www.allmovie.com/explore/theme/trading-bodies-1457 :: 155 :: 
4-1-2	Love Triangles :: 156 :: 	http://www.allmovie.com/explore/theme/love-triangles-1492 :: 157 :: 
4-1-3	Gender-Bending :: 158 :: 	http://www.allmovie.com/explore/theme/gender-bending-1407 :: 159 :: 
4-1-4	Success is the Best Revenge :: 160 :: 	http://www.allmovie.com/explore/theme/success-is-the-best-revenge-1511 :: 161 :: 
4-1-5	Reincarnation :: 162 :: 	http://www.allmovie.com/explore/theme/reincarnation-1605 :: 163 :: 
4-2-1	Otherwise Engaged :: 161 :: 	http://www.allmovie.com/explore/theme/otherwise-engaged-1488 :: 162 :: 
4-2-2	Eccentric Families :: 163 :: 	http://www.allmovie.com/explore/theme/eccentric-families-1418 :: 164 :: 
4-2-3	Serendipity :: 165 :: 	http://www.allmovie.com/explore/theme/serendipity- :: 166 :: 
4-2-4	Opposites Attract :: 167 :: 	http://www.allmovie.com/explore/theme/opposites-attract-1490 :: 168 :: 
4-2-5	Looking For Love :: 169 :: 	http://www.allmovie.com/explore/theme/looking-for-love-1704 :: 170 :: 
4-2-6	Battle of the Sexes :: 171 :: 	http://www.allmovie.com/explore/theme/battle-of-the-sexes-1686 :: 172 :: 
4-3-1	Assumed Identities :: 147 :: 	http://www.allmovie.com/explore/theme/assumed-identities-1405 :: 148 :: 
4-3-2	Gender-Bending :: 149 :: 	http://www.allmovie.com/explore/theme/gender-bending-1407 :: 150 :: 
4-3-3	Big Break :: 151 :: 	http://www.allmovie.com/explore/theme/big-break- :: 152 :: 
4-3-4	Schemes and Ruses :: 153 :: 	http://www.allmovie.com/explore/theme/schemes-and-ruses- :: 154 :: 
4-3-5	Actor's Life :: 155 :: 	http://www.allmovie.com/explore/theme/actors-life-1556 :: 156 :: 
4-4-1	All Washed Up :: 156 :: 	http://www.allmovie.com/explore/theme/all-washed-up-1555 :: 157 :: 
4-4-2	Cons and Scams :: 158 :: 	http://www.allmovie.com/explore/theme/cons-and-scams-1607 :: 159 :: 
4-5-1	Curses and Spells :: 158 :: 	http://www.allmovie.com/explore/theme/curses-and-spells- :: 159 :: 
4-5-2	Mythical Creatures :: 160 :: 	http://www.allmovie.com/explore/theme/mythical-creatures-1793 :: 161 :: 
4-5-3	Fantasy Lands :: 162 :: 	http://www.allmovie.com/explore/theme/fantasy-lands-1798 :: 163 :: 
4-5-4	Daring Rescues :: 164 :: 	http://www.allmovie.com/explore/theme/daring-rescues-1376 :: 165 :: 
4-5-5	Heroic Mission :: 166 :: 	http://www.allmovie.com/explore/theme/heroic-mission-1630 :: 167 :: 
4-5-6	Opposites Attract :: 168 :: 	http://www.allmovie.com/explore/theme/opposites-attract-1490 :: 169 :: 
4-6-1	Ladder to the Top :: 160 :: 	http://www.allmovie.com/explore/theme/ladder-to-the-top-1399 :: 161 :: 
4-6-2	Ship Cruises :: 162 :: 	http://www.allmovie.com/explore/theme/ship-cruises-1600 :: 163 :: 
4-6-3	Success is the Best Revenge :: 164 :: 	http://www.allmovie.com/explore/theme/success-is-the-best-revenge-1511 :: 165 :: 
4-6-4	Righting the Wronged :: 166 :: 	http://www.allmovie.com/explore/theme/righting-the-wronged-1631 :: 167 :: 
4-6-5	Cons and Scams :: 168 :: 	http://www.allmovie.com/explore/theme/cons-and-scams-1607 :: 169 :: 
4-7-1	Unlikely Criminals :: 155 :: 	http://www.allmovie.com/explore/theme/unlikely-criminals-1474 :: 156 :: 
4-7-2	Mercenaries :: 157 :: 	http://www.allmovie.com/explore/theme/mercenaries- :: 158 :: 
4-7-3	Kidnapping :: 159 :: 	http://www.allmovie.com/explore/theme/kidnapping-1665 :: 160 :: 
4-7-4	Parenthood :: 161 :: 	http://www.allmovie.com/explore/theme/parenthood-1415 :: 162 :: 
4-7-5	Escape From Prison :: 163 :: 	http://www.allmovie.com/explore/theme/escape-from-prison-1481 :: 164 :: 
4-8-1	Race Relations :: 146 :: 	http://www.allmovie.com/explore/theme/race-relations-1579 :: 147 :: 
4-8-2	Sheriffs and Outlaws :: 148 :: 	http://www.allmovie.com/explore/theme/sheriffs-and-outlaws-1632 :: 149 :: 
4-9-1	Cons and Scams :: 143 :: 	http://www.allmovie.com/explore/theme/cons-and-scams-1607 :: 144 :: 
4-9-2	Love Triangles :: 145 :: 	http://www.allmovie.com/explore/theme/love-triangles-1492 :: 146 :: 
4-10-1	Race Against Time :: 166 :: 	http://www.allmovie.com/explore/theme/race-against-time-1432 :: 167 :: 
4-10-2	End of the World :: 168 :: 	http://www.allmovie.com/explore/theme/end-of-the-world-1619 :: 169 :: 
4-10-3	Renegade Body Parts :: 170 :: 	http://www.allmovie.com/explore/theme/renegade-body-parts-1535 :: 171 :: 
4-10-4	War in the Sky :: 172 :: 	http://www.allmovie.com/explore/theme/war-in-the-sky-1560 :: 173 :: 
4-11-1	Obsessive Quests :: 148 :: 	http://www.allmovie.com/explore/theme/obsessive-quests-1546 :: 149 :: 
4-11-2	Riches To Rags :: 150 :: 	http://www.allmovie.com/explore/theme/riches-to-rags-1424 :: 151 :: 
4-11-3	Filmmaking :: 152 :: 	http://www.allmovie.com/explore/theme/filmmaking-1641 :: 153 :: 
4-12-1	College Life :: 160 :: 	http://www.allmovie.com/explore/theme/college-life-1522 :: 161 :: 
4-12-2	Underdogs :: 162 :: 	http://www.allmovie.com/explore/theme/underdogs-1426 :: 163 :: 
4-12-3	Arrested Adolescence :: 164 :: 	http://www.allmovie.com/explore/theme/arrested-adolescence- :: 165 :: 
4-12-4	Feuds :: 166 :: 	http://www.allmovie.com/explore/theme/feuds- :: 167 :: 
4-12-5	Class Differences :: 168 :: 	http://www.allmovie.com/explore/theme/class-differences-1412 :: 169 :: 
4-12-6	Fighting the System :: 170 :: 	http://www.allmovie.com/explore/theme/fighting-the-system-1503 :: 171 :: 
4-12-7	Teachers and Students :: 172 :: 	http://www.allmovie.com/explore/theme/teachers-and-students-1614 :: 173 :: 
4-13-1	Daring Rescues :: 118 :: 	http://www.allmovie.com/explore/theme/daring-rescues-1376 :: 119 :: 
4-14-1	Cons and Scams :: 142 :: 	http://www.allmovie.com/explore/theme/cons-and-scams-1607 :: 143 :: 
4-14-2	Battle of the Sexes :: 144 :: 	http://www.allmovie.com/explore/theme/battle-of-the-sexes-1686 :: 145 :: 
4-15-1	Knights and Ladies :: 157 :: 	http://www.allmovie.com/explore/theme/knights-and-ladies-1469 :: 158 :: 
4-15-2	Obsessive Quests :: 159 :: 	http://www.allmovie.com/explore/theme/obsessive-quests-1546 :: 160 :: 
4-15-3	Priceless Artifacts and Prized Objects :: 161 :: 	http://www.allmovie.com/explore/theme/priceless-artifacts-and-prized-objects- :: 162 :: 
4-15-4	Treasure Hunts :: 163 :: 	http://www.allmovie.com/explore/theme/treasure-hunts-523 :: 164 :: 
4-15-5	Heroic Mission :: 165 :: 	http://www.allmovie.com/explore/theme/heroic-mission-1630 :: 166 :: 
4-16-1	Prospectors and Land Rights :: 151 :: 	http://www.allmovie.com/explore/theme/prospectors-and-land-rights-1713 :: 152 :: 
4-16-2	Nothing Goes Right :: 153 :: 	http://www.allmovie.com/explore/theme/nothing-goes-right-1410 :: 154 :: 
4-17-1	Otherwise Engaged :: 148 :: 	http://www.allmovie.com/explore/theme/otherwise-engaged-1488 :: 149 :: 
4-17-2	Fathers and Daughters :: 150 :: 	http://www.allmovie.com/explore/theme/fathers-and-daughters-1616 :: 151 :: 
4-17-3	Wedding Bells :: 152 :: 	http://www.allmovie.com/explore/theme/wedding-bells-1417 :: 153 :: 
4-17-4	Opposites Attract :: 154 :: 	http://www.allmovie.com/explore/theme/opposites-attract-1490 :: 155 :: 
4-17-5	Class Differences :: 156 :: 	http://www.allmovie.com/explore/theme/class-differences-1412 :: 157 :: 
4-18-1	Gender-Bending :: 154 :: 	http://www.allmovie.com/explore/theme/gender-bending-1407 :: 155 :: 
4-18-2	Fish Out of Water :: 156 :: 	http://www.allmovie.com/explore/theme/fish-out-of-water-1422 :: 157 :: 
4-18-3	Assumed Identities :: 158 :: 	http://www.allmovie.com/explore/theme/assumed-identities-1405 :: 159 :: 
4-18-4	Schemes and Ruses :: 160 :: 	http://www.allmovie.com/explore/theme/schemes-and-ruses- :: 161 :: 
4-18-5	Love Triangles :: 162 :: 	http://www.allmovie.com/explore/theme/love-triangles-1492 :: 163 :: 
4-19-1	Opposites Attract :: 144 :: 	http://www.allmovie.com/explore/theme/opposites-attract-1490 :: 145 :: 
4-19-2	Single Life :: 146 :: 	http://www.allmovie.com/explore/theme/single-life- :: 147 :: 
4-19-3	Faltering Friendships :: 148 :: 	http://www.allmovie.com/explore/theme/faltering-friendships-1593 :: 149 :: 
4-19-4	Otherwise Engaged :: 150 :: 	http://www.allmovie.com/explore/theme/otherwise-engaged-1488 :: 151 :: 
4-20-1	Fighting the System :: 141 :: 	http://www.allmovie.com/explore/theme/fighting-the-system-1503 :: 142 :: 
4-20-2	Life Under Occupation :: 143 :: 	http://www.allmovie.com/explore/theme/life-under-occupation-1464 :: 144 :: 
4-20-3	Actor's Life :: 145 :: 	http://www.allmovie.com/explore/theme/actors-life-1556 :: 146 :: 
4-21-1	Twentysomething Life :: 160 :: 	http://www.allmovie.com/explore/theme/twentysomething-life-1649 :: 161 :: 
4-21-2	Bohemian Life :: 162 :: 	http://www.allmovie.com/explore/theme/bohemian-life-1428 :: 163 :: 
4-22-1	Fish Out of Water :: 155 :: 	http://www.allmovie.com/explore/theme/fish-out-of-water-1422 :: 156 :: 
4-22-2	Vacation Romances :: 157 :: 	http://www.allmovie.com/explore/theme/vacation-romances-1626 :: 158 :: 
4-23-1	Fish Out of Water :: 146 :: 	http://www.allmovie.com/explore/theme/fish-out-of-water-1422 :: 147 :: 
4-23-2	Nightmare Vacations :: 148 :: 	http://www.allmovie.com/explore/theme/nightmare-vacations-1627 :: 149 :: 
4-23-3	Faltering Friendships :: 150 :: 	http://www.allmovie.com/explore/theme/faltering-friendships-1593 :: 151 :: 
4-23-4	Down on Their Luck :: 152 :: 	http://www.allmovie.com/explore/theme/down-on-their-luck-1383 :: 153 :: 
4-23-5	Actor's Life :: 154 :: 	http://www.allmovie.com/explore/theme/actors-life-1556 :: 155 :: 
4-24-1	Fish Out of Water :: 156 :: 	http://www.allmovie.com/explore/theme/fish-out-of-water-1422 :: 157 :: 
4-24-2	Down on Their Luck :: 158 :: 	http://www.allmovie.com/explore/theme/down-on-their-luck-1383 :: 159 :: 
4-25-1	Eccentric Families :: 139 :: 	http://www.allmovie.com/explore/theme/eccentric-families-1418 :: 140 :: 
4-25-2	Nothing Goes Right :: 141 :: 	http://www.allmovie.com/explore/theme/nothing-goes-right-1410 :: 142 :: 
4-26-1	Nothing Goes Right :: 145 :: 	http://www.allmovie.com/explore/theme/nothing-goes-right-1410 :: 146 :: 
4-26-2	Fish Out of Water :: 147 :: 	http://www.allmovie.com/explore/theme/fish-out-of-water-1422 :: 148 :: 
4-26-3	Ship Cruises :: 149 :: 	http://www.allmovie.com/explore/theme/ship-cruises-1600 :: 150 :: 
4-26-4	Nightmare Vacations :: 151 :: 	http://www.allmovie.com/explore/theme/nightmare-vacations-1627 :: 152 :: 
4-27-1	Filmmaking :: 162 :: 	http://www.allmovie.com/explore/theme/filmmaking-1641 :: 163 :: 
4-27-2	Actor's Life :: 164 :: 	http://www.allmovie.com/explore/theme/actors-life-1556 :: 165 :: 
4-27-3	Pygmalion Stories :: 166 :: 	http://www.allmovie.com/explore/theme/pygmalion-stories-1425 :: 167 :: 
4-28-1	Amateur Sleuths :: 155 :: 	http://www.allmovie.com/explore/theme/amateur-sleuths-1483 :: 156 :: 
4-28-2	Nothing Goes Right :: 157 :: 	http://www.allmovie.com/explore/theme/nothing-goes-right-1410 :: 158 :: 
4-29-1	Haunted By the Past :: 144 :: 	http://www.allmovie.com/explore/theme/haunted-by-the-past-1404 :: 145 :: 
4-29-2	Experiments Gone Awry :: 146 :: 	http://www.allmovie.com/explore/theme/experiments-gone-awry-1448 :: 147 :: 
4-29-3	Mad Scientists :: 148 :: 	http://www.allmovie.com/explore/theme/mad-scientists-1459 :: 149 :: 
